V1  1NC
V1  2NC
V1  3NC
V1  4NC
V1  2GC
V1  NSP
VA  NV2SP
VA  8MC
VA  7MC
VA  6MC
VA  5MC
VA  4MC
VA  1MC
T1  1C
T1  2C
T1  3C
T1  4C
T1  PSP
J1  1C
J1  2C
J1  3C
J1  4C
J1  5C
J1  6C
J1  7C
J1  8C
J1  9C
J1  10C
J1  11C
J1  12C
J1  13C
J1  14C
J1  15C
J1  16C
J1  17C
J1  PTSP
J1  1CTP
J2  3C
J2  4C
J2  NGSP
J2  NGP
KR  1C
KR  2C
KR  3C
KR  4C
KR  5C
KR  6C
KR  7C
KR  8C
KR  9C
KR  10C
KR  11C
KR  12C
KR  13C
KR  14C
KR  PJSP
KR  CEP
BP  1-3SP
IB-7C
IB-3C
IB-8C
IB-4C
IB-9C
IB-5C
IB-10C
IB-6C
